1 ; год постройки2015. 
1 ; *** not found . 
5 из 18 ; год постройки2011. 
5 из 5 ; год постройки1902. 
1 ; год постройки2014. 
1 ; год постройки2009. 
1 ; год постройки2018. 
4 из 23 ; год постройки2012. 
6 из 20 ; год постройки2017. 
1 ; год постройки1980. 
8 из 19 ; год постройки2012. 
1 ; *** not found . 
1 ; год постройки2018. 
1 ; год постройки1985. 
1 ; год постройки2017. 
5 из 9 ; год постройки1981. 
1 ; год постройки2016. 
4 из 6 ; *** not found . 
1 ; год постройки1987. 
1 ; *** not found . 
1 ; год постройки2016. 
8 из 9 ; год постройки1976. 
5 из 5 ; год постройки1960. 
5 из 5 ; год постройки1966. 
1 ; год постройки1964. 
7 из 12 ; год постройки2008. 
1 ; *** not found . 
6 из 25 ; *** not found . 
1 ; год постройки2007. 
1 ; год постройки1916. 
7 из 16 ; *** not found . 
1 ; *** not found . 
6 из 16 ; год постройки2013. 
1 ; год постройки2019. 
1 ; *** not found . 
1 ; год постройки2009. 
5 из 25 ; год постройки2017. 
9 из 12 ; *** not found . 
1 ; *** not found . 
1 ; год постройки2016. 
1 ; год постройки1986. 
1 ; год постройки2019. 
9 из 9 ; год постройки1977. 
1 ; *** not found . 
1 ; год постройки2018. 
1 ; год постройки1983. 
1 ; *** not found . 
5 из 5 ; год постройки1963. 
1 ; год постройки2014. 
4-этажный дом ; год постройки1906. 
5 из 5 ; год постройки1962. 
1 ; *** not found . 
1 ; год постройки2017. 
1 ; год постройки2009. 
1 ; год постройки2002. 
1 ; год постройки1990. 
7 из 9 ; год постройки1971. 
6 из 24 ; год постройки2010. 
9 из 9 ; год постройки1969. 
1 ; *** not found . 
9 из 9 ; год постройки1983. 
1 ; год постройки1892. 
1 ; *** not found . 
1 ; год постройки2006. 
5 из 9 ; год постройки2017. 
1 ; *** not found . 
1 ; *** not found . 
1 ; *** not found . 
1 ; год постройки2008. 
4 из 25 ; год постройки2010. 
1 ; год постройки1990. 
1 ; год постройки2018. 
1 ; год постройки2014. 
4-этажный дом ; год постройки1906. 
5 из 5 ; год постройки1962. 
1 ; *** not found . 
1 ; год постройки2017. 
1 ; год постройки2009. 
1 ; год постройки2002. 
1 ; год постройки1990. 
7 из 9 ; год постройки1971. 
6 из 24 ; год постройки2010. 
9 из 9 ; год постройки1969. 
1 ; *** not found . 
9 из 9 ; год постройки1983. 
1 ; год постройки1892. 
1 ; *** not found . 
1 ; год постройки2006. 
5 из 9 ; год постройки2017. 
1 ; *** not found . 
1 ; *** not found . 
1 ; *** not found . 
1 ; год постройки2008. 
4 из 25 ; год постройки2010. 
1 ; год постройки1990. 
1 ; год постройки2018. 
6 из 6 ; год постройки1994. 
7 из 22 ; год постройки2016. 
1 ; год постройки2014. 
1 ; год постройки1959. 
5 из 16 ; год постройки1990. 
1 ; год постройки1962. 
1 ; год постройки2017. 
1 ; год постройки2013. 
1 ; *** not found . 
7 из 25 ; год постройки1969. 
1 ; *** not found . 
4 из 5 ; год постройки2020. 
6 из 22 ; *** not found . 
9 из 27 ; год постройки2004. 
4 из 22 ; год постройки2008. 
1 ; год постройки2018. 
5 из 25 ; год постройки2013. 
1 ; *** not found . 
1 ; год постройки2017. 
5 из 24 ; год постройки2020. 
1 ; год постройки2011. 
1 ; *** not found . 
8 из 9 ; год постройки2018. 
9 из 25 ; год постройки2019. 
1 ; год постройки2019. 
1 ; год постройки1957. 
7 из 12 ; год постройки2001. 
5 из 16 ; год постройки2017. 
1 ; год постройки2018. 
1 ; год постройки2013. 
1 ; год постройки2007. 
1 ; *** not found . 
4 из 5 ; год постройки2020. 
1 ; *** not found . 
6 из 10 ; год постройки2013. 
4 из 20 ; год постройки2015. 
1 ; *** not found . 
9 из 9 ; год постройки1963. 
1 ; год постройки2019. 
1 ; год постройки2013. 
1 ; *** not found . 
1 ; год постройки2018. 
6 из 9 ; год постройки1981. 
4 из 4 ; *** not found . 
1 ; год постройки2015. 
8 из 11 ; год постройки2005. 
1 ; год постройки2003. 
1 ; *** not found . 
1 ; год постройки2019. 
1 ; год постройки1971. 
7 из 25 ; *** not found . 
1 ; год постройки1980. 
1 ; год постройки1959. 
1 ; год постройки2014. 
1 ; *** not found . 
1 ; *** not found . 
1 ; год постройки1980. 
7 из 8 ; год постройки2019. 
1 ; год постройки1993. 
1 ; год постройки2003. 
1 ; год постройки2017. 
5 из 22 ; год постройки1996. 
1 ; *** not found . 
1 ; *** not found . 
6 из 6 ; год постройки1914. 
1 ; год постройки2005. 
9 из 16 ; *** not found . 
1 ; *** not found . 
1 ; *** not found . 
1 ; *** not found . 
1 ; год постройки1999. 
4 из 5 ; год постройки2007. 
1 ; год постройки2009. 
1 ; год постройки2014. 
5 из 11 ; год постройки2005. 
5 из 16 ; год постройки2017. 
7 из 14 ; год постройки2007. 
9 из 16 ; *** not found . 
1 ; *** not found . 
1 ; год постройки2015. 
1 ; *** not found . 
1 ; год постройки2014. 
6 из 9 ; год постройки1977. 
6 из 9 ; год постройки1974. 
5 из 24 ; год постройки2005. 
8 из 8 ; год постройки1958. 
1 ; *** not found . 
1 ; год постройки2017. 
1 ; год постройки2018. 
1 ; год постройки2005. 
7 из 22 ; год постройки2012. 
1 ; год постройки1964. 
1 ; год постройки2015. 
1 ; год постройки2017. 
1 ; *** not found . 
1 ; год постройки2011. 
1 ; год постройки1964. 
1 ; год постройки2016. 
7 из 26 ; *** not found . 
1 ; год постройки2021. 
1 ; год постройки1946. 
9 из 24 ; год постройки2017. 
5 из 9 ; год постройки1977. 
1 ; год постройки2018. 
4 из 6 ; *** not found . 
1 ; год постройки2013. 
7 из 25 ; год постройки2015. 
1 ; год постройки2001. 
1 ; *** not found . 
8 из 25 ; год постройки2015. 
6 из 6 ; *** not found . 
1 ; год постройки2003. 
1 ; год постройки1963. 
1 ; год постройки1962. 
4 из 6 ; год постройки1895. 
1 ; *** not found . 
4 из 16 ; *** not found . 
1 ; год постройки2001. 
1 ; *** not found . 
1 ; *** not found . 
1 ; год постройки1970. 
8 из 9 ; год постройки1973. 
1 ; *** not found . 
1 ; год постройки2010. 
1 ; *** not found . 
6 из 9 ; год постройки1979. 
4 из 16 ; год постройки2002. 
1 ; год постройки2018. 
1 ; год постройки2005. 
1 ; *** not found . 
9 из 24 ; год постройки2019. 
6 из 9 ; год постройки1975. 
1 ; год постройки2010. 
1 ; год постройки2005. 
9 из 25 ; год постройки2020. 
9 из 9 ; год постройки1986. 
1 ; *** not found . 
1 ; год постройки2005. 
1 ; год постройки2018. 
1 ; год постройки2011. 
1 ; год постройки2018. 
1 ; год постройки1971. 
1 ; год постройки2020. 
4 из 5 ; год постройки1960. 
1 ; год постройки2005. 
1 ; *** not found . 
1 ; год постройки2006. 
4 из 9 ; год постройки1969. 
1 ; год постройки2015. 
1 ; *** not found . 
1 ; год постройки2006. 
1 ; год постройки2019. 
1 ; *** not found . 
1 ; год постройки2007. 
4 из 14 ; *** not found . 
9 из 9 ; год постройки1973. 
1 ; год постройки2012. 
1 ; год постройки2017. 
1 ; год постройки1997. 
5 из 6 ; год постройки1936. 
6 из 16 ; год постройки2005. 
1 ; год постройки1971. 
4 из 26 ; *** not found . 
1 ; год постройки1883. 
8 из 27 ; год постройки2010. 
6 из 12 ; год постройки2016. 
6 из 25 ; год постройки2016. 
1 ; год постройки2001. 
1 ; *** not found . 
6 из 8 ; год постройки2015. 
5 из 19 ; *** not found . 
1 ; *** not found . 
1 ; *** not found . 
4 из 5 ; *** not found . 
5 из 26 ; *** not found . 
5 из 23 ; год постройки2013. 
1 ; *** not found . 
1 ; *** not found . 
7 из 9 ; *** not found . 
5 из 9 ; год постройки1982. 
1 ; *** not found . 
1 ; *** not found . 
1 ; год постройки1983. 
1 ; *** not found . 
1 ; *** not found . 
1 ; год постройки2013. 
9 из 20 ; год постройки2014. 
1 ; год постройки2013. 
1 ; год постройки2019. 
1 ; *** not found . 
4 из 4 ; год постройки1905. 
8 из 9 ; *** not found . 
1 ; год постройки2012. 
1 ; год постройки1959. 
1 ; год постройки2016. 
1 ; *** not found . 
9 из 13 ; *** not found . 
9 из 9 ; год постройки1973. 
5 из 25 ; *** not found . 
1 ; год постройки2009. 
1 ; *** not found . 
1 ; *** not found . 
1 ; год постройки2003. 
6 из 9 ; год постройки1971. 
9 из 24 ; *** not found . 
1 ; год постройки1983. 
1 ; *** not found . 
1 ; год постройки2015. 
1 ; год постройки1982. 
1 ; *** not found . 
4 из 5 ; год постройки1961. 
5 из 24 ; год постройки2019. 
1 ; *** not found . 
1 ; *** not found . 
6 из 26 ; год постройки2018. 
7 из 25 ; год постройки2016. 
1 ; год постройки2020. 
1 ; год постройки2018. 
1 ; год постройки2012. 
9 из 17 ; год постройки2006. 
1 ; год постройки1989. 
1 ; *** not found . 
1 ; год постройки2015. 
8 из 24 ; год постройки2014. 
1 ; *** not found . 
1 ; год постройки2004. 
1 ; *** not found . 
1 ; год постройки2018. 
4 из 25 ; год постройки2012. 
9 из 12 ; год постройки2015. 
1 ; год постройки2018. 
5 из 9 ; год постройки1977. 
1 ; год постройки2012. 
4 из 22 ; год постройки2006. 
1 ; год постройки2015. 
1 ; год постройки1966. 
9 из 9 ; год постройки2019. 
1 ; год постройки2018. 
1 ; *** not found . 
1 ; *** not found . 
9 из 10 ; год постройки2014. 
1 ; *** not found . 
4 из 4 ; *** not found . 
1 ; год постройки2017. 
1 ; год постройки2018. 
1 ; год постройки1879. 
9 из 10 ; год постройки1991. 
1 ; *** not found . 
1 ; *** not found . 
1 ; год постройки1961. 
1 ; год постройки2017. 
8 из 16 ; *** not found . 
1 ; год постройки1913. 
1 ; *** not found . 
6 из 7 ; *** not found . 
1 ; год постройки1999. 
1 ; год постройки1961. 
1 ; *** not found . 
1 ; *** not found . 
6 из 9 ; *** not found . 
1 ; *** not found . 
1 ; год постройки2013. 
1 ; год постройки2013. 
1 ; *** not found . 
7 из 16 ; год постройки1993. 
1 ; *** not found . 
1 ; год постройки2016. 
1 ; год постройки2018. 
7 из 9 ; *** not found . 
7 из 23 ; год постройки2015. 
1 ; год постройки2019. 
6 из 25 ; *** not found . 
1 ; *** not found . 
1 ; год постройки2010. 
1 ; год постройки2005. 
4 из 8 ; год постройки2011. 
6 из 25 ; год постройки2007. 
4 из 24 ; год постройки2009. 
8 из 26 ; *** not found . 
6 из 10 ; год постройки2003. 
5 из 25 ; год постройки2014. 
1 ; год постройки1999. 
1 ; год постройки2018. 
5 из 24 ; год постройки2020. 
6 из 26 ; год постройки2018. 
7 из 9 ; год постройки1972. 
1 ; год постройки2018. 
1 ; год постройки2011. 
1 ; год постройки2019. 
1 ; *** not found . 
1 ; год постройки2007. 
1 ; *** not found . 
9 из 9 ; год постройки1978. 
1 ; год постройки1858. 
1 ; год постройки1974. 
9 из 26 ; год постройки2017. 
1 ; *** not found . 
1 ; год постройки2008. 
1 ; *** not found . 
1 ; *** not found . 
8 из 15 ; год постройки2007. 
9 из 10 ; год постройки2014. 
8 из 32 ; год постройки2016. 
1 ; год постройки1993. 
